75    297  0.2697 0.0388 Sigma_3 lab
85    297  0.2551 0.0274 Sigma_3 lab
95    297  0.2228 0.0267 Sigma_3 lab
107.5 297  0.1097 0.0316 Sigma_3 lab
122.5 297  0.0169 0.0517 Sigma_3 lab
140.0 297 -0.0127 0.0389 Sigma_3 lab
