65.0	333.8	0.355	0.093	Sigma_3	lab
65.0	323.8	0.212	0.041	Sigma_3	lab
65.0	310.1	0.249	0.028	Sigma_3	lab
75.0	333.8	0.435	0.103	Sigma_3	lab
75.0	323.8	0.358	0.037	Sigma_3	lab
75.0	310.1	0.287	0.025	Sigma_3	lab
90.0	333.8	0.506	0.080	Sigma_3	lab
90.0	323.8	0.394	0.034	Sigma_3	lab
90.0	310.1	0.374	0.022	Sigma_3	lab
105.0	333.8	0.304	0.100	Sigma_3	lab
105.0	323.8	0.385	0.034	Sigma_3	lab
105.0	310.1	0.332	0.022	Sigma_3	lab
115.0	333.8	0.210	0.112	Sigma_3	lab
115.0	323.8	0.277	0.040	Sigma_3	lab
115.0	310.1	0.291	0.025	Sigma_3	lab
125.0	333.8	0.257	0.106	Sigma_3	lab
125.0	323.8	0.227	0.039	Sigma_3	lab
125.0	310.1	0.210	0.025	Sigma_3	lab
135.0	333.8	0.353	0.123	Sigma_3	lab
135.0	323.8	0.183	0.043	Sigma_3	lab
135.0	310.1	0.145	0.028	Sigma_3	lab
